Aasta,Sugu,Maakond,Rahvused kokku,Eestlased,Muud rahvused,Venelased,Ukrainlased,Valgevenelased,Soomlased,Tatarlased,Lätlased,Poolakad,Juudid,Leedulased,Sakslased,Armeenlased,Aserbaidžaanid,Rahvus teadmata
2020,Mehed ja naised,Harju maakond,605029,359759,235145,186031,16587,7288,3754,1304,1490,1050,1579,1354,1237,1159,969,10125
2020,Mehed ja naised,Hiiu maakond,9315,9145,152,59,15,8,20,0,7,1,2,1,10,0,0,18
2020,Mehed ja naised,Ida-Viru maakond,134259,23473,110495,99811,3212,2834,1111,436,251,338,122,248,346,191,122,291
2020,Mehed ja naised,Jõgeva maakond,28442,25832,2569,2087,158,54,112,10,35,4,2,17,19,10,0,41
2020,Mehed ja naised,Järva maakond,30174,28503,1598,749,369,43,193,5,33,26,3,10,28,13,11,73
2020,Mehed ja naised,Lääne maakond,20444,18040,2307,1666,209,80,87,20,27,8,4,27,30,0,2,97
2020,Mehed ja naised,Lääne-Viru maakond,58862,51093,7605,5663,691,225,454,22,58,39,12,70,56,24,28,164
2020,Mehed ja naised,Põlva maakond,24647,23496,1115,808,133,11,51,5,16,6,2,4,16,1,4,36
2020,Mehed ja naised,Pärnu maakond,86185,76926,8834,5999,1031,224,518,48,233,53,23,80,119,44,15,425
2020,Mehed ja naised,Rapla maakond,33282,31316,1867,1120,231,77,171,10,26,8,3,16,35,5,16,99
2020,Mehed ja naised,Saare maakond,33083,32363,638,251,72,14,137,1,16,11,2,13,27,0,1,82
2020,Mehed ja naised,Tartu maakond,153317,128643,24148,17311,1332,384,1169,60,339,146,99,157,397,129,105,526
2020,Mehed ja naised,Valga maakond,28204,22649,5411,3584,469,180,90,13,619,24,7,31,53,17,3,144
2020,Mehed ja naised,Viljandi maakond,46161,44044,2047,1126,248,66,240,7,74,20,5,28,38,11,0,70
2020,Mehed ja naised,Võru maakond,35415,33553,1767,1304,116,39,60,4,78,6,5,8,23,3,1,95
2020,Mehed ja naised,Maakond teadmata,2070,717,491,233,24,9,130,3,27,4,9,4,4,1,3,862
2020,Mehed,Kogu Eesti,629246,431673,188673,148155,12428,4892,4125,888,1764,752,1000,1017,1301,895,793,8900
2020,Mehed,Harju maakond,282349,165615,109968,83781,8500,3212,2054,604,755,467,823,668,681,629,595,6766
2020,Mehed,Hiiu maakond,4740,4646,81,24,11,7,11,0,2,0,1,0,4,0,0,13
2020,Mehed,Ida-Viru maakond,61879,11627,50033,45217,1374,1102,501,193,128,142,75,129,172,113,81,219
2020,Mehed,Jõgeva maakond,13899,12643,1223,1000,65,21,58,4,14,1,1,9,12,8,0,33
2020,Mehed,Järva maakond,14761,13907,798,336,212,26,93,1,20,14,2,5,15,9,2,56
2020,Mehed,Lääne maakond,9849,8700,1085,759,84,28,44,6,14,4,2,15,23,0,2,64
2020,Mehed,Lääne-Viru maakond,28578,24943,3514,2595,315,88,200,8,34,16,9,36,29,14,21,121
2020,Mehed,Põlva maakond,12321,11751,544,377,69,4,27,0,9,4,1,1,11,1,3,26
2020,Mehed,Pärnu maakond,40886,36386,4175,2683,533,102,296,21,117,20,11,39,53,29,12,325
2020,Mehed,Rapla maakond,16581,15577,929,541,132,34,79,4,13,3,1,7,16,5,5,75
2020,Mehed,Saare maakond,16364,15960,349,117,41,5,87,0,5,6,0,4,18,0,0,55
2020,Mehed,Tartu maakond,72201,60490,11393,7915,669,146,458,37,194,54,54,79,203,71,66,318
2020,Mehed,Valga maakond,13843,11169,2572,1632,233,73,48,6,345,11,6,11,29,7,3,102
2020,Mehed,Viljandi maakond,22384,21374,953,480,118,25,109,1,43,5,4,9,21,6,0,57
2020,Mehed,Võru maakond,17458,16556,834,574,61,16,28,2,55,3,4,2,11,3,1,68
2020,Mehed,Maakond teadmata,1153,329,222,124,11,3,32,1,16,2,6,3,3,0,2,602
2020,Naised,Kogu Eesti,699643,477879,217516,179647,12469,6644,4172,1060,1565,992,879,1051,1137,713,487,4248
2020,Naised,Harju maakond,322680,194144,125177,102250,8087,4076,1700,700,735,583,756,686,556,530,374,3359
2020,Naised,Hiiu maakond,4575,4499,71,35,4,1,9,0,5,1,1,1,6,0,0,5
2020,Naised,Ida-Viru maakond,72380,11846,60462,54594,1838,1732,610,243,123,196,47,119,174,78,41,72
2020,Naised,Jõgeva maakond,14543,13189,1346,1087,93,33,54,6,21,3,1,8,7,2,0,8
2020,Naised,Järva maakond,15413,14596,800,413,157,17,100,4,13,12,1,5,13,4,9,17
2020,Naised,Lääne maakond,10595,9340,1222,907,125,52,43,14,13,4,2,12,7,0,0,33
2020,Naised,Lääne-Viru maakond,30284,26150,4091,3068,376,137,254,14,24,23,3,34,27,10,7,43
2020,Naised,Põlva maakond,12326,11745,571,431,64,7,24,5,7,2,1,3,5,0,1,10
2020,Naised,Pärnu maakond,45299,40540,4659,3316,498,122,222,27,116,33,12,41,66,15,3,100
2020,Naised,Rapla maakond,16701,15739,938,579,99,43,92,6,13,5,2,9,19,0,11,24
2020,Naised,Saare maakond,16719,16403,289,134,31,9,50,1,11,5,2,9,9,0,1,27
2020,Naised,Tartu maakond,81116,68153,12755,9396,663,238,711,23,145,92,45,78,194,58,39,208
2020,Naised,Valga maakond,14361,11480,2839,1952,236,107,42,7,274,13,1,20,24,10,0,42
2020,Naised,Viljandi maakond,23777,22670,1094,646,130,41,131,6,31,15,1,19,17,5,0,13
2020,Naised,Võru maakond,17957,16997,933,730,55,23,32,2,23,3,1,6,12,0,0,27
2020,Naised,Maakond teadmata,917,388,269,109,13,6,98,2,11,2,3,1,1,1,1,260
2021,Mehed ja naised,Kogu Eesti,1330068,914896,408033,322700,27254,11485,8479,1937,3572,1745,1898,2057,2570,1599,1408,7139
2021,Mehed ja naised,Harju maakond,609515,365793,239619,184175,18557,7362,4038,1330,1625,1101,1584,1359,1365,1171,1084,4103
2021,Mehed ja naised,Hiiu maakond,9381,9210,162,61,17,6,20,0,8,1,3,0,11,0,0,9
2021,Mehed ja naised,Ida-Viru maakond,131913,23551,108246,97785,3223,2687,1058,405,267,307,131,246,340,182,121,116
2021,Mehed ja naised,Jõgeva maakond,28082,25540,2528,2030,168,52,114,11,29,3,1,18,23,9,1,14
2021,Mehed ja naised,Järva maakond,29817,28198,1590,724,384,47,196,2,31,22,3,10,27,14,8,29
2021,Mehed ja naised,Lääne maakond,20285,17972,2248,1613,196,78,88,20,27,8,4,26,31,0,1,65
